dataset,id,period,region,channel,device,segment,age,tenure_months,income,balance,visits_7d,visits_30d,dwell_seconds,discount_rate,basket_value,support_tickets,loan_amount,utilization,delinquencies,bureau_score,employment_years,inquiry_count,macro_index,merchant_risk,behavior_score,missingness_flag,decoy_score,target
conversion,conversion_00419,P1,island,affiliate,ios,value,47.0,0.0,4141.9,3504.9,11.0,16.0,60.21,0.3348,18.62,3.0,,,,,,,,0.3585,0.52619,0,0.50014,0
conversion,conversion_00829,P2,suburban,social,android,standard,39.0,12.0,7882.31,5251.46,12.0,20.0,101.98,0.259,43.55,1.0,,,,,,,,0.6599,0.62923,0,0.68046,1
conversion,conversion_00515,P1,suburban,search,android,value,19.0,13.0,4058.37,1846.86,9.0,45.0,96.74,0.3582,76.02,0.0,,,,,,,,0.082,0.45338,0,0.70509,1
conversion,conversion_00091,P2,island,email,tablet,standard,48.0,4.0,1839.2,981.11,11.0,54.0,53.93,0.2258,36.0,0.0,,,,,,,,0.5882,0.83156,0,0.55129,1
conversion,conversion_00573,P1,island,search,ios,standard,52.0,15.0,5826.23,6194.92,13.0,13.0,44.62,0.0071,68.45,1.0,,,,,,,,0.2569,0.58781,0,0.79554,0
conversion,conversion_00503,P1,metro,direct,tablet,new,28.0,0.0,4676.98,,0.0,46.0,29.54,0.1742,91.04,0.0,,,,,,,,0.2884,0.55588,0,0.14147,1
conversion,conversion_00115,P1,regional,social,android,new,18.0,84.0,2053.17,1315.64,3.0,10.0,633.03,0.1267,43.0,3.0,,,,,,,,0.1444,0.33673,0,0.13822,1
conversion,conversion_00293,P1,island,social,desktop,value,20.0,16.0,4422.49,,10.0,47.0,68.62,0.0683,88.64,0.0,,,,,,,,0.1955,0.87157,0,0.45682,1
conversion,conversion_00664,P3,island,search,ios,premium,26.0,4.0,4706.86,,14.0,55.0,73.29,0.1541,160.47,0.0,,,,,,,,0.3294,0.97766,0,0.77416,1
conversion,conversion_00746,P3,metro,email,tablet,standard,46.0,4.0,1213.18,653.39,3.0,9.0,49.4,0.3263,31.04,0.0,,,,,,,,0.6228,0.33936,0,0.77434,0
conversion,conversion_00402,P1,island,email,android,premium,32.0,17.0,4094.33,1833.55,2.0,7.0,74.17,0.1613,138.82,2.0,,,,,,,,0.4374,0.38449,0,0.21609,1
conversion,conversion_00298,P3,suburban,direct,desktop,new,37.0,6.0,3714.25,5110.56,10.0,16.0,309.9,0.1614,51.27,0.0,,,,,,,,0.0715,0.71432,0,1.0,1
conversion,conversion_00596,P2,suburban,email,android,standard,25.0,10.0,4454.51,4546.31,8.0,29.0,177.77,0.168,49.0,0.0,,,,,,,,0.4317,0.59769,1,0.63099,1
conversion,conversion_00643,P2,suburban,search,desktop,standard,43.0,,1200.0,532.72,9.0,46.0,124.73,0.0225,124.5,1.0,,,,,,,,0.2674,0.80533,0,0.94122,1
conversion,conversion_00144,P2,metro,search,desktop,standard,48.0,16.0,4942.71,,15.0,42.0,107.46,0.1049,98.28,0.0,,,,,,,,0.247,0.80612,0,0.86723,1
conversion,conversion_00180,P1,regional,social,tablet,standard,30.0,2.0,2502.95,1827.42,11.0,23.0,165.96,0.0516,115.32,2.0,,,,,,,,0.4045,0.58359,0,0.81156,1
conversion,conversion_00824,P1,suburban,social,ios,value,48.0,27.0,5933.45,5464.46,10.0,25.0,54.25,0.1027,69.89,3.0,,,,,,,,0.2028,0.68859,0,0.62382,1
conversion,conversion_00140,P1,suburban,social,android,value,29.0,29.0,3530.89,2599.66,6.0,15.0,205.12,0.293,54.38,2.0,,,,,,,,0.5819,0.69215,1,0.58854,1
