dataset,id,period,region,channel,device,segment,age,tenure_months,income,balance,visits_7d,visits_30d,dwell_seconds,discount_rate,basket_value,support_tickets,loan_amount,utilization,delinquencies,bureau_score,employment_years,inquiry_count,macro_index,merchant_risk,behavior_score,missingness_flag,decoy_score,target
credit,credit_00000,P1,metro,branch,,near_prime,32,18,6311.1,,,,,,,,20156.17,0.2416,0,590.8,5.5,1,-0.3284,,0.07317,0,0.09636,0
credit,credit_00001,P2,regional,mobile,,prime,55,125,3358.59,,,,,,,,17865.88,0.6425,1,573.7,4.5,0,-0.7726,,0.46277,0,0.27423,0
credit,credit_00002,P1,metro,branch,,near_prime,37,30,4904.17,,,,,,,,700.0,0.7536,0,530.9,7.6,0,0.8077,,0.21512,0,0.59646,0
credit,credit_00003,P3,suburban,partner,,thin_file,51,12,5692.86,,,,,,,,28928.01,0.4132,0,705.5,1.9,0,-0.2819,,0.44508,1,0.36012,0
credit,credit_00004,P2,metro,partner,,near_prime,31,12,6661.82,,,,,,,,10278.96,0.4479,0,635.5,13.2,1,-0.2633,,0.07905,0,0.28105,0
credit,credit_00005,P3,regional,mobile,,high_yield,47,125,7523.97,,,,,,,,16128.1,0.4855,2,550.2,6.2,1,0.3271,,0.44956,0,0.81869,0
credit,credit_00006,P3,metro,broker,,high_yield,,19,2941.96,,,,,,,,24254.98,0.4048,0,611.3,4.5,1,0.3932,,0.92789,0,0.82724,1
credit,credit_00007,P1,suburban,broker,,near_prime,46,65,3894.28,,,,,,,,18740.95,0.196,4,559.4,3.2,5,-0.277,,1.0,0,0.74004,1
credit,credit_00008,P3,metro,mobile,,high_yield,56,67,5955.48,,,,,,,,9062.08,0.4147,1,595.6,10.9,2,0.1306,,0.51289,0,0.4907,1
credit,credit_00009,P1,metro,broker,,high_yield,39,19,5045.68,,,,,,,,12186.85,0.3107,1,605.4,5.6,0,-0.0065,,0.47157,0,0.31493,0
credit,credit_00010,P1,industrial,mobile,,near_prime,34,40,5976.45,,,,,,,,30035.03,0.4123,1,615.8,6.0,1,-1.323,,0.1731,0,0.48287,0
credit,credit_00011,P2,suburban,partner,,high_yield,64,14,4039.73,,,,,,,,21830.57,0.5774,1,597.8,2.6,2,-0.5742,,0.83633,0,0.67137,1
credit,credit_00012,P1,metro,broker,,high_yield,33,0,5794.19,,,,,,,,22647.34,0.575,0,595.5,6.8,1,-0.2989,,0.53996,0,0.83582,0
credit,credit_00013,P3,metro,mobile,,near_prime,34,12,4134.54,,,,,,,,10360.45,0.3109,1,642.6,2.4,1,0.0376,,0.67478,0,0.68898,0
credit,credit_00014,P1,metro,mobile,,high_yield,42,54,3376.91,,,,,,,,22112.88,0.7201,1,487.9,4.7,0,-0.2034,,0.83241,0,0.82541,1
credit,credit_00015,P2,metro,mobile,,high_yield,54,81,2902.22,,,,,,,,9570.49,0.7218,0,573.7,7.3,5,0.654,,0.76932,0,0.56945,1
credit,credit_00016,P2,metro,partner,,near_prime,50,,3641.29,,,,,,,,19487.85,0.4735,0,634.8,9.9,5,0.5058,,0.75879,0,0.42466,0
credit,credit_00017,P1,regional,mobile,,near_prime,39,2,8052.22,,,,,,,,38163.92,0.3264,0,627.0,3.2,3,-0.4587,,0.27676,0,0.65052,1
credit,credit_00018,P2,metro,branch,,near_prime,55,18,3747.49,,,,,,,,25761.75,0.5422,1,508.4,4.9,0,-0.3729,,0.75334,0,0.74848,0
credit,credit_00019,P2,suburban,broker,,near_prime,55,8,4154.28,,,,,,,,27394.74,0.8372,0,618.1,6.5,0,-0.0738,,0.36213,0,0.64201,1
credit,credit_00020,P1,metro,partner,,near_prime,50,12,6385.4,,,,,,,,26757.54,0.6481,0,651.1,4.3,1,-0.0663,,0.22265,0,0.56596,0
credit,credit_00021,P1,suburban,branch,,near_prime,33,16,6280.54,,,,,,,,13726.11,0.5338,0,670.0,3.7,1,0.1006,,0.12667,0,0.12758,1
credit,credit_00022,P3,suburban,mobile,,prime,55,32,5960.16,,,,,,,,19010.25,0.8142,0,623.3,1.5,3,-0.2596,,0.6313,0,0.71505,0
credit,credit_00023,P3,suburban,mobile,,near_prime,38,2,8427.99,,,,,,,,25263.99,0.5633,0,606.8,3.7,0,-0.8381,,0.3782,0,0.49415,0
credit,credit_00024,P2,regional,branch,,prime,19,3,8268.9,,,,,,,,18077.04,0.2791,0,662.0,10.9,0,-0.1448,,0.35181,0,0.13381,0
credit,credit_00025,P3,metro,partner,,prime,46,32,4014.4,,,,,,,,8982.2,0.6288,1,616.2,4.3,2,-0.8939,,0.14056,0,0.35655,0
credit,credit_00026,P2,metro,branch,,thin_file,51,46,5059.43,,,,,,,,35522.01,0.6121,0,631.2,5.8,5,-0.0016,,0.34643,0,0.70406,1
credit,credit_00027,P3,metro,branch,,thin_file,46,2,6612.53,,,,,,,,13720.29,0.2414,0,660.7,,2,0.1292,,0.16977,0,0.14019,0
credit,credit_00028,P2,industrial,partner,,thin_file,52,10,3707.76,,,,,,,,18327.83,0.6267,4,464.7,2.9,2,0.3694,,1.0,0,0.84509,1
credit,credit_00029,P3,industrial,partner,,high_yield,38,12,3014.1,,,,,,,,11266.13,0.551,1,603.1,6.4,1,-0.0633,,0.75491,0,0.55229,1
credit,credit_00030,P2,regional,mobile,,high_yield,34,21,5159.87,,,,,,,,4534.38,0.2884,0,650.1,0.6,4,0.4729,,0.37342,0,0.47536,0
credit,credit_00031,P1,metro,branch,,thin_file,55,125,3910.53,,,,,,,,14274.95,0.3733,1,698.3,2.0,1,0.6947,,0.35201,0,0.34945,0
credit,credit_00032,P2,regional,mobile,,near_prime,26,76,5901.44,,,,,,,,9567.5,0.4832,0,650.5,9.8,1,0.233,,0.69771,0,0.16136,0
credit,credit_00033,P2,regional,broker,,thin_file,61,29,1655.78,,,,,,,,13260.37,0.4838,0,699.5,9.8,1,0.3262,,0.58602,1,0.1361,1
credit,credit_00034,P3,regional,branch,,high_yield,56,22,1680.61,,,,,,,,1078.64,0.1982,0,667.5,5.5,3,0.1181,,0.31545,0,0.34356,1
credit,credit_00035,P1,suburban,mobile,,near_prime,44,18,6856.83,,,,,,,,17985.31,0.5947,0,547.3,4.9,0,0.1215,,0.44127,0,0.56845,0
credit,credit_00036,P1,suburban,mobile,,near_prime,42,37,5080.89,,,,,,,,700.0,0.5546,0,645.4,5.0,1,0.0436,,0.26009,0,0.0,0
credit,credit_00037,P3,metro,branch,,near_prime,19,5,4301.79,,,,,,,,27672.49,0.7993,1,655.5,5.8,1,0.1915,,0.71138,0,0.7874,0
credit,credit_00038,P3,suburban,mobile,,near_prime,55,63,4937.9,,,,,,,,8629.18,0.4891,0,690.2,13.4,0,-1.0526,,0.12335,0,0.0,0
credit,credit_00039,P3,regional,broker,,near_prime,40,72,5733.47,,,,,,,,23647.66,0.72,0,634.6,5.3,1,-0.5675,,0.54374,0,0.41223,0
credit,credit_00040,P2,suburban,partner,,prime,48,8,3824.44,,,,,,,,15863.59,0.6886,0,709.0,7.5,1,-0.4147,,0.18398,0,0.45822,0
credit,credit_00041,P3,metro,partner,,near_prime,51,4,5144.6,,,,,,,,25781.31,0.2977,0,688.5,12.7,2,-0.3882,,0.23287,0,0.25741,0
credit,credit_00042,P3,metro,broker,,high_yield,48,25,3232.56,,,,,,,,37622.57,0.5166,3,537.4,11.1,0,-0.135,,0.51562,0,1.0,1
credit,credit_00043,P2,regional,branch,,near_prime,45,56,6107.58,,,,,,,,8863.13,0.5505,0,567.5,0.2,0,-0.2605,,0.32884,0,0.43361,0
credit,credit_00044,P3,regional,branch,,thin_file,41,,,,,,,,,,21658.2,0.6245,0,,9.7,3,0.0482,,0.67318,1,0.67377,1
credit,credit_00045,P2,suburban,branch,,near_prime,62,36,4549.41,,,,,,,,27198.18,0.4205,0,,2.9,0,0.4857,,0.42544,0,0.66282,1
credit,credit_00046,P1,metro,mobile,,prime,38,32,4403.94,,,,,,,,11676.57,0.3918,0,605.7,7.6,0,0.0964,,0.02121,0,0.44784,0
credit,credit_00047,P3,regional,partner,,prime,48,10,5879.8,,,,,,,,10549.64,0.7652,0,572.7,4.9,0,-0.1155,,0.67849,0,0.22439,0
credit,credit_00048,P1,suburban,partner,,near_prime,46,111,3433.53,,,,,,,,28605.57,0.3982,2,585.2,3.4,0,-0.6049,,0.69896,0,0.64828,0
credit,credit_00049,P1,industrial,mobile,,near_prime,53,16,4584.7,,,,,,,,36555.03,0.2906,0,665.5,8.2,5,-0.1441,,0.58199,0,0.62185,1
credit,credit_00050,P2,suburban,branch,,thin_file,44,26,6804.27,,,,,,,,30692.66,0.4376,0,606.4,2.5,1,-0.2474,,0.58762,0,0.43518,1
credit,credit_00051,P3,suburban,branch,,prime,,28,2327.85,,,,,,,,19070.86,0.359,0,759.6,6.5,1,-0.3059,,0.0,0,0.39811,1
credit,credit_00052,P1,regional,mobile,,high_yield,34,20,9719.73,,,,,,,,16507.73,0.3695,4,610.9,5.6,0,-0.2089,,0.8597,0,0.90602,1
credit,credit_00053,P1,suburban,mobile,,near_prime,,25,5047.22,,,,,,,,3002.28,0.4042,0,683.2,,0,-0.5962,,0.13064,0,0.03878,0
credit,credit_00054,P2,suburban,broker,,thin_file,72,52,5282.41,,,,,,,,10905.82,0.4656,0,740.6,10.0,1,0.2348,,0.08361,1,0.40367,0
credit,credit_00055,P3,metro,branch,,prime,27,21,5018.18,,,,,,,,17625.7,0.8263,0,576.8,6.6,0,-0.3876,,0.41538,0,0.66251,0
credit,credit_00056,P1,industrial,mobile,,high_yield,37,9,5821.9,,,,,,,,17429.76,0.127,1,636.8,8.4,0,0.3602,,0.47971,0,0.26988,1
credit,credit_00057,P2,suburban,broker,,prime,51,5,5406.83,,,,,,,,23364.53,0.4348,0,629.0,0.0,1,0.4041,,0.50746,0,0.60355,0
credit,credit_00058,P2,metro,mobile,,high_yield,68,51,4980.81,,,,,,,,14676.34,0.097,0,722.9,2.1,0,-0.7195,,0.0,0,0.05562,0
credit,credit_00059,P1,regional,broker,,near_prime,39,,9146.7,,,,,,,,28029.68,0.6365,0,604.6,11.4,1,-0.1715,,0.34846,0,0.14137,1
credit,credit_00060,P1,metro,branch,,near_prime,58,26,2387.59,,,,,,,,18111.71,0.2993,1,525.0,8.3,3,-0.2331,,0.50913,0,0.60118,1
credit,credit_00061,P3,regional,partner,,near_prime,34,53,850.0,,,,,,,,32918.67,0.053,0,650.1,15.7,0,-0.4448,,0.36033,0,0.21541,1
credit,credit_00062,P3,metro,branch,,thin_file,39,,2827.49,,,,,,,,21145.73,0.818,0,665.1,12.2,0,-0.0335,,0.55243,1,0.45319,0
credit,credit_00063,P1,regional,mobile,,near_prime,50,2,7758.7,,,,,,,,27319.58,0.2908,0,658.9,6.1,0,-0.1319,,0.34165,0,0.20152,0
credit,credit_00064,P3,industrial,branch,,high_yield,65,24,4791.59,,,,,,,,21671.51,0.7012,0,696.9,11.9,1,0.153,,0.15635,0,0.5908,0
credit,credit_00065,P1,regional,branch,,near_prime,37,2,2141.54,,,,,,,,8476.99,0.5899,0,686.2,1.4,1,0.4825,,0.63387,0,0.44344,1
credit,credit_00066,P1,metro,mobile,,high_yield,27,42,6604.86,,,,,,,,8002.42,0.6427,0,,12.4,0,-0.062,,0.34085,0,0.4191,0
credit,credit_00067,P3,metro,mobile,,high_yield,47,61,4269.82,,,,,,,,11868.57,0.5621,1,579.7,1.4,2,-0.4153,,0.8561,0,0.73405,0
credit,credit_00068,P1,suburban,broker,,high_yield,25,22,2890.92,,,,,,,,12237.44,0.0791,1,690.2,7.2,0,-0.7581,,0.12734,0,0.30558,0
credit,credit_00069,P2,metro,mobile,,near_prime,19,3,3088.41,,,,,,,,28791.22,0.5514,4,,7.8,0,-0.3513,,0.98408,0,0.92289,1
credit,credit_00070,P3,suburban,broker,,near_prime,53,33,6860.88,,,,,,,,19280.09,0.3175,0,665.5,,1,-0.1482,,0.33286,0,0.38957,0
credit,credit_00071,P1,regional,branch,,near_prime,29,37,4601.53,,,,,,,,8836.34,0.7399,0,737.6,8.3,5,-0.918,,0.00671,0,0.0,0
credit,credit_00072,P2,suburban,mobile,,high_yield,38,14,2733.79,,,,,,,,10766.54,0.5193,0,668.1,0.4,1,-0.7498,,0.25631,0,0.15937,0
credit,credit_00073,P2,regional,broker,,near_prime,21,25,5219.45,,,,,,,,16445.95,0.2371,0,685.0,9.6,0,-0.349,,0.0,0,0.26777,0
credit,credit_00074,P3,regional,broker,,near_prime,40,33,8309.39,,,,,,,,25376.45,0.3342,0,630.0,3.2,0,-0.1889,,0.46492,0,0.49491,0
credit,credit_00075,P1,suburban,broker,,high_yield,51,49,5080.97,,,,,,,,700.0,0.0984,0,706.6,3.4,0,-0.0056,,0.11728,0,0.0,0
credit,credit_00076,P1,metro,branch,,near_prime,66,2,5261.88,,,,,,,,21200.03,0.623,0,645.5,10.5,0,0.1913,,0.0,0,0.0,0
credit,credit_00077,P3,regional,partner,,thin_file,51,3,5195.85,,,,,,,,24368.83,0.5434,2,580.0,6.2,2,-0.1418,,0.74728,1,0.71696,1
credit,credit_00078,P1,metro,branch,,near_prime,48,84,6707.22,,,,,,,,16735.23,0.1837,0,593.8,6.9,0,0.4671,,0.42693,0,0.32964,0
credit,credit_00079,P2,suburban,broker,,prime,47,62,4965.72,,,,,,,,38717.93,0.892,0,599.4,9.1,1,0.019,,0.63836,0,0.73879,1
credit,credit_00080,P2,regional,broker,,prime,51,11,4752.61,,,,,,,,16546.52,0.4067,0,666.2,1.4,1,0.0714,,0.61699,0,0.56906,1
credit,credit_00081,P3,suburban,mobile,,thin_file,35,11,3220.21,,,,,,,,18528.36,0.21,0,,1.3,0,0.1374,,0.27462,1,0.7611,0
credit,credit_00082,P1,industrial,branch,,near_prime,45,28,4841.39,,,,,,,,17792.13,0.6585,0,700.9,10.3,1,-0.7312,,0.0,0,0.0,1
credit,credit_00083,P1,suburban,mobile,,prime,,33,4166.6,,,,,,,,15483.5,0.344,1,576.7,3.8,0,-0.7763,,0.58258,0,0.47327,1
credit,credit_00084,P1,suburban,mobile,,prime,,4,6591.61,,,,,,,,17437.81,0.4408,0,703.0,8.3,1,0.0264,,0.19447,0,0.17442,0
credit,credit_00085,P2,suburban,branch,,prime,21,20,7085.68,,,,,,,,37470.47,0.6019,0,582.2,3.6,1,-0.0882,,0.39557,0,0.47354,0
credit,credit_00086,P2,regional,mobile,,near_prime,25,3,7975.72,,,,,,,,1902.67,0.5877,0,589.0,7.2,2,-0.5616,,0.0,0,0.30239,0
credit,credit_00087,P1,suburban,broker,,near_prime,36,25,3901.69,,,,,,,,28305.17,0.5694,0,562.0,7.9,1,-0.5069,,0.61743,0,0.8936,1
credit,credit_00088,P3,regional,branch,,near_prime,30,50,7447.02,,,,,,,,17125.09,0.6332,0,629.8,5.0,0,-0.4751,,0.0,0,0.45394,0
credit,credit_00089,P1,metro,branch,,near_prime,42,6,4692.57,,,,,,,,27197.51,0.4651,0,680.3,0.0,0,-0.0397,,0.74137,0,0.51041,0
credit,credit_00090,P1,metro,branch,,near_prime,30,25,1180.35,,,,,,,,12209.49,0.3649,0,688.5,7.2,3,0.2429,,0.56467,0,0.39577,0
credit,credit_00091,P3,suburban,branch,,prime,30,39,7331.26,,,,,,,,23102.4,0.4122,1,653.4,6.4,0,-0.739,,0.1644,0,0.17078,0
credit,credit_00092,P2,metro,branch,,thin_file,41,50,,,,,,,,,10367.09,0.0795,2,623.2,5.9,2,-0.5926,,0.25593,0,0.40408,0
credit,credit_00093,P2,industrial,branch,,near_prime,41,3,4760.39,,,,,,,,7563.74,0.3849,0,614.8,2.6,5,-0.5197,,0.37623,0,0.37737,1
credit,credit_00094,P2,metro,broker,,thin_file,44,10,4431.56,,,,,,,,15266.52,0.1953,0,669.6,,0,0.5473,,0.4106,0,0.36999,1
credit,credit_00095,P2,metro,mobile,,prime,42,13,2927.67,,,,,,,,16428.91,0.3019,0,579.0,8.7,0,-0.2673,,0.28787,0,0.02981,1
credit,credit_00096,P3,metro,branch,,prime,40,12,5510.45,,,,,,,,27912.13,0.2607,0,613.2,13.1,3,-1.2755,,0.44168,0,0.0,0
credit,credit_00097,P3,industrial,branch,,prime,25,6,6768.54,,,,,,,,5200.42,0.1394,0,661.4,4.8,0,0.0212,,0.00757,0,0.0,0
credit,credit_00098,P3,metro,partner,,thin_file,26,,3944.77,,,,,,,,17844.31,0.2243,0,728.1,5.8,4,-0.0773,,0.49752,1,0.19133,0
credit,credit_00099,P1,industrial,mobile,,thin_file,,24,5138.08,,,,,,,,21633.72,0.2056,0,700.3,4.2,0,-0.7427,,0.19215,0,0.28129,0
credit,credit_00100,P3,metro,branch,,near_prime,50,,6156.16,,,,,,,,22506.28,0.724,0,678.1,5.3,0,-0.1609,,0.21497,0,0.0,0
credit,credit_00101,P3,suburban,branch,,prime,53,19,5073.06,,,,,,,,17499.98,0.8011,0,,2.0,3,0.4692,,0.3571,0,1.0,0
credit,credit_00102,P3,industrial,partner,,prime,24,38,10051.2,,,,,,,,22705.32,0.3005,0,704.7,6.0,0,-0.1296,,0.06492,0,0.0,0
credit,credit_00103,P2,metro,mobile,,near_prime,40,82,1513.98,,,,,,,,6879.5,0.398,0,652.3,4.6,5,0.0473,,0.23611,0,0.05748,0
credit,credit_00104,P3,industrial,mobile,,high_yield,54,23,6019.15,,,,,,,,18932.47,0.5652,0,599.7,10.3,1,-0.3543,,0.64092,0,0.51716,1
credit,credit_00105,P3,metro,partner,,high_yield,38,2,5414.14,,,,,,,,6050.47,0.7614,0,680.7,7.7,0,-0.3638,,0.52008,0,0.17659,1
credit,credit_00106,P2,metro,mobile,,prime,35,17,6499.73,,,,,,,,27880.26,0.1695,0,656.8,13.9,0,0.0144,,0.20616,0,0.12289,1
credit,credit_00107,P2,industrial,broker,,prime,35,11,4220.87,,,,,,,,2819.11,0.476,0,660.0,10.7,1,-0.3342,,0.0,0,0.75593,0
credit,credit_00108,P3,metro,mobile,,prime,55,27,3612.88,,,,,,,,35530.75,0.5772,0,628.1,5.8,1,-0.1254,,0.45402,0,0.56747,1
credit,credit_00109,P3,suburban,mobile,,thin_file,32,120,3508.68,,,,,,,,4400.46,0.1353,1,606.4,0.0,4,-0.2062,,0.44397,0,0.34076,0
credit,credit_00110,P1,metro,mobile,,near_prime,48,60,4327.93,,,,,,,,27933.74,0.3174,0,638.4,2.3,4,-0.4134,,0.0,0,0.4693,1
credit,credit_00111,P2,metro,broker,,thin_file,19,,5334.1,,,,,,,,22065.98,0.6114,1,583.3,7.7,3,0.0842,,0.71562,1,0.70633,1
credit,credit_00112,P3,suburban,partner,,prime,55,,2480.57,,,,,,,,22299.87,0.1788,1,691.7,,0,0.1289,,0.46648,0,0.0,0
credit,credit_00113,P1,metro,branch,,near_prime,45,11,4375.34,,,,,,,,21029.15,0.6276,1,638.2,4.7,0,0.7785,,0.45484,0,0.85817,1
credit,credit_00114,P1,regional,mobile,,high_yield,43,,4446.1,,,,,,,,19270.07,0.427,0,641.6,11.2,0,0.2379,,0.4028,0,0.07664,0
credit,credit_00115,P2,regional,partner,,thin_file,37,9,7464.53,,,,,,,,22732.46,0.0732,1,608.5,8.5,3,-0.4188,,0.63564,1,0.37813,1
credit,credit_00116,P3,suburban,partner,,near_prime,19,14,8046.56,,,,,,,,25307.9,0.4349,1,660.4,,2,-0.8976,,0.57567,0,0.59296,0
credit,credit_00117,P3,regional,mobile,,prime,36,5,7821.07,,,,,,,,23134.99,0.4431,0,629.9,,0,-0.267,,0.41033,0,0.0,1
credit,credit_00118,P2,industrial,broker,,near_prime,30,,6027.66,,,,,,,,23237.63,0.4197,0,578.4,0.0,0,-0.0076,,0.37193,0,0.702,0
credit,credit_00119,P3,suburban,partner,,prime,54,5,3487.24,,,,,,,,24433.61,0.7207,1,625.8,,0,-0.1117,,0.60642,0,0.77191,1
credit,credit_00120,P3,regional,broker,,thin_file,38,2,2433.87,,,,,,,,23856.1,0.5817,2,548.6,8.5,0,0.1656,,0.63406,1,0.54716,1
credit,credit_00121,P2,regional,branch,,thin_file,48,30,5630.76,,,,,,,,20732.89,0.176,1,620.6,3.1,0,-0.2175,,0.54469,0,0.30639,1
credit,credit_00122,P2,industrial,branch,,prime,48,87,1119.73,,,,,,,,17614.22,0.7864,3,569.9,7.4,0,0.3707,,0.92545,0,1.0,0
credit,credit_00123,P3,industrial,mobile,,prime,35,29,4925.52,,,,,,,,27299.77,0.4807,0,638.6,14.7,0,-0.7205,,0.0849,0,0.17112,0
credit,credit_00124,P2,regional,branch,,high_yield,20,20,3202.49,,,,,,,,22088.89,0.8147,0,578.8,6.6,0,-0.3303,,0.86642,0,0.75147,0
credit,credit_00125,P1,suburban,branch,,prime,51,125,1246.7,,,,,,,,9942.39,0.6127,0,647.3,9.8,1,-0.3474,,0.19483,0,0.0,0
credit,credit_00126,P2,regional,partner,,prime,32,35,2979.27,,,,,,,,20847.72,0.5702,0,,6.3,4,-0.03,,0.59296,0,0.61535,0
credit,credit_00127,P1,metro,branch,,prime,38,3,6597.02,,,,,,,,23125.67,0.2274,0,766.5,8.3,1,-0.4359,,0.16863,0,0.2483,0
credit,credit_00128,P1,suburban,mobile,,prime,43,,6888.57,,,,,,,,17261.75,0.5178,0,692.0,6.9,1,-0.3258,,0.07971,0,0.11087,0
credit,credit_00129,P1,industrial,partner,,near_prime,32,78,5482.11,,,,,,,,19439.19,0.5523,1,643.6,3.7,2,-0.1409,,0.28401,0,0.18762,1
credit,credit_00130,P2,metro,partner,,prime,29,72,6297.61,,,,,,,,9062.34,0.126,0,711.0,10.0,2,-0.2319,,0.0,0,0.15123,0
credit,credit_00131,P3,industrial,mobile,,near_prime,75,9,3595.62,,,,,,,,12867.99,0.3203,2,602.6,10.1,1,0.3329,,0.68016,0,0.86012,0
credit,credit_00132,P2,regional,mobile,,near_prime,27,25,5407.72,,,,,,,,12027.89,0.636,1,577.3,7.1,2,-0.0396,,0.70722,0,0.57239,1
credit,credit_00133,P2,metro,partner,,thin_file,48,,4966.8,,,,,,,,5727.18,0.539,0,636.3,8.6,0,-0.0865,,0.2658,1,0.0,0
credit,credit_00134,P1,industrial,partner,,near_prime,52,47,7000.07,,,,,,,,30577.62,0.5881,0,670.8,10.3,0,0.6357,,0.52153,0,0.18481,1
credit,credit_00135,P1,suburban,mobile,,thin_file,40,47,7085.47,,,,,,,,20400.27,0.3993,0,605.4,11.6,0,0.0246,,0.05867,0,0.4112,0
credit,credit_00136,P3,metro,broker,,prime,56,2,,,,,,,,,28928.92,0.4461,0,658.1,0.0,0,-0.0557,,0.64962,0,0.32204,0
